codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4201273,Respiratória crônica,6.0,2.0
4201406,Respiratória crônica,511.0,48.0
4201505,Respiratória crônica,126.0,2.0
4201604,Respiratória crônica,80.0,1.0
4202008,Respiratória crônica,447.0,41.0
4202305,Respiratória crônica,43.0,7.0
4202404,Respiratória crônica,1481.0,85.0
4202602,Respiratória crônica,294.0,6.0
4202800,Respiratória crônica,289.0,7.0
4202909,Respiratória crônica,745.0,52.0
4203006,Respiratória crônica,106.0,18.0
4203105,Respiratória crônica,151.0,7.0
4203204,Respiratória crônica,1.0,0.0
4203303,Respiratória crônica,42.0,5.0
4203402,Respiratória crônica,193.0,6.0
4203501,Respiratória crônica,315.0,9.0
4203600,Respiratória crônica,258.0,19.0
4203709,Respiratória crônica,17.0,0.0
4203808,Respiratória crônica,389.0,57.0
4203907,Respiratória crônica,233.0,15.0
4204103,Respiratória crônica,99.0,4.0
4204202,Respiratória crônica,493.0,41.0
4204301,Respiratória crônica,258.0,19.0
4204400,Respiratória crônica,89.0,5.0
4204558,Respiratória crônica,61.0,0.0
4204608,Respiratória crônica,1335.0,55.0
4204707,Respiratória crônica,113.0,6.0
4204806,Respiratória crônica,815.0,76.0
4204905,Respiratória crônica,51.0,0.0
4205001,Respiratória crônica,230.0,26.0
4205308,Respiratória crônica,83.0,2.0
4205407,Respiratória crônica,3236.0,138.0
4205506,Respiratória crônica,241.0,12.0
4205902,Respiratória crônica,148.0,18.0
